PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,16.05,19.26,21.01,21.66,19.64,15.25,18.2,15.51,16.12,17.91,17.6,13.78,17.65
ALLSKY_SFC_SW_DWN,2012,14.87,19.73,20.71,19.9,21.54,16.04,16.29,18.53,16.99,17.4,15.32,14.99,17.69
ALLSKY_SFC_SW_DWN,2013,16.51,19.21,21.84,21.84,14.13,19.56,19.47,16.41,16.83,15.28,17.55,15.16,17.79
ALLSKY_SFC_SW_DWN,2014,16.4,18.58,22.23,23.31,21.81,16.01,19.31,16.29,18.03,18.32,17.33,15.16,18.57
ALLSKY_SFC_SW_DWN,2015,15.34,18.88,21.88,19.62,21.25,15.89,13.49,16.37,16.84,16.21,16.61,12.79,17.08
ALLSKY_SFC_SW_DWN,2016,15.16,16.81,20.12,20.09,19.43,18.74,16.2,17.5,17.71,16.03,16.29,15.89,17.49
ALLSKY_SFC_SW_DWN,2017,17.81,19.63,19.39,19.62,21.82,16.84,14.98,16.77,15.04,15.83,16.58,14.86,17.42
ALLSKY_SFC_SW_DWN,2018,15.94,17.88,20.46,21.32,18.04,15.85,16.04,18.22,17.99,16.05,17.53,14.65,17.49
ALLSKY_SFC_SW_DWN,2019,17.32,17.7,20.59,22.91,21.64,18.39,15.27,18.18,16.56,16.65,16.37,14.38,17.99
ALLSKY_SFC_SW_DWN,2020,14.2,17.84,21.13,19.81,20.76,16.66,17.45,16.33,15.98,16.41,16.22,15.67,17.37
ALLSKY_SFC_SW_DWN,2021,15.64,18.9,19.92,22.94,20.61,13.78,16.25,15.66,18.15,17.02,16.91,14.35,17.49
ALLSKY_SFC_SW_DWN,2022,14.65,19.26,21.63,21.67,18.54,15.46,21.2,19.29,16.6,18.22,17.89,15.52,18.33
ALLSKY_SFC_SW_DWN,2023,16.17,19.14,18.28,22.85,20.21,16.05,21.08,12.81,17.52,16.4,15.71,14.62,17.55
ALLSKY_SFC_SW_DWN,2024,14.35,16.86,20.15,21.87,19.9,16.01,17.12,12.24,17.34,15.91,17.18,15,16.98
ALLSKY_SFC_SW_DWN,2025,15.51,18.19,21.23,20.18,19.13,16.43,14.36,16.21,18.1,17.62,17.09,-999,-999
GWETROOT,2011,0.68,0.57,0.46,0.46,0.57,0.75,0.93,0.97,0.97,0.87,0.74,0.62,0.72
